portfolio,id_ordre_travail,id_demande,etat,motif_standby,anomalie,urgence,impact_disponibilite,vandalisme,palliative,avec_demande_pdr,est_reouvert,site,zone,famille,groupe,localisation,actif,demandeur,ot_fils,date_declaration,createur_ot,date_creation_ot,utilisateur_prestataire,date_debut_reparation,responsable_cloture,date_cloture,commentaire_cloture,responsable_reouverture,date_reouverture,commentaire_ouverture,validateur_travaux,date_validation,responsable_rejet,date_rejet,motif_rejet,prestataire,cout_maindoeuvre,cout_pdr,cout_bc,cout_total,description,plateforme_creation,plateforme_prestataire,plateforme_cloture,plateforme_rejet,plateforme_reouverture,plateforme_validation,nombre_main_doeuvre,duree_intervention_par_heure,id_actif,time_to_closure_hours,time_to_start_hours,num_spare_parts_requests,total_parts_quantity,total_parts_cost,parts_articles,parts_families,parts_request_status
equipement,15524,15650,OT Cloturé,,Alarme incendie ,Moyen,non,False,False,False,False,TM1,TMPC01,Equipement de protection contre incendie,Centrale de détection d'incendie,TMPC,Centrale incendie  TMPC SECTEUR 2,Matière   dangereuse ,Non,2025-03-31 23:30:00,Matière   dangereuse ,2025-03-31 23:30:00,SUP-TMU-EQ- 07,2025-04-20 16:04:00,SUP-TMU-EQ- 07,2025-04-20 16:05:00,La centrale a été réarmée.,,,,Chaymae Farah,2025-07-17 20:59:00,,,,TMU,0.0,0.0,0.0,0.0,La centrale d'incendie au niveau de secteur N°2 de TMPC affiche un message << alarme incendie >>,WEB,WEB,WEB,WEB,WEB,WEB,2,0.0,5694,472.5833333333333,472.56666666666666,0,0.0,0.0,,,
infrastructure,15523,15649,OT Cloturé,,Endommagement ,Moyen,non,False,False,False,False,TM1,SAS IMPORT,Clôture,Clôture,Sas Import Clôture,Sas Import Clôture 152,animateur 02,Non,2025-03-31 03:27:00,animateur 02,2025-03-31 03:27:00,sup-nzala- 01,2025-04-16 16:19:00,sup-nzala- 01,2025-04-16 19:49:00,Remplacement d'un panneau de la clôture simple,,,,Soufiane chegdali,2025-05-02 23:18:00,,,,NZALA,539.14,0.0,0.0,539.14,,WEB,WEB,WEB,WEB,WEB,WEB,3,3.47,25331,400.3666666666667,396.8666666666667,0,0.0,0.0,,,
batiment,15522,15648,OT Cloturé,,Travaux de maintenance,Moyen,non,False,False,False,False,TM1,SAS IMPORT,Equipement lot archi / Menuiserie ,Cloison,Sanitaire Sas Import,Cloison ,animateur 02,Non,2025-03-31 03:24:00,animateur 02,2025-03-31 03:24:00,sup-tmu-bat- 05,2025-04-10 10:10:00,sup-tmu-bat- 05,2025-04-10 10:29:00,Fermeture la porte de Boîtier de compteur d'eau potable,,,,Soufiane chegdali,2025-05-02 23:19:00,,,,TMU,15.6,0.0,0.0,15.6,"Boîtier de compteur d'eau potable ouvert au niveau du local sanitaire situé au parking du nouveau véhicule, SAS IMPORT TM1.",WEB,WEB,WEB,WEB,WEB,WEB,1,0.3,163156,247.08333333333334,246.76666666666668,0,0.0,0.0,,,
equipement,15521,15647,OT Cloturé,,Luminaire éteint,Moyen,non,False,False,False,False,TM1,SAS EXPORT,Equipement Electrique,Candélabre,SAS EXPORT,Candélabre 230 ,animateur 02,Non,2025-03-31 03:21:00,animateur 02,2025-03-31 03:21:00,sup-tmu-eq- 04,2025-04-02 14:18:00,sup-tmu-eq- 04,2025-04-02 15:23:00,changement de disjoncteur de 10A,,,,Soufiane chegdali,2025-04-11 19:44:00,,,,TMU,1075.35,0.0,0.0,1075.35,Candélabre hors service au niveau de parking régulation SAS EXPORT TM1.,WEB,WEB,WEB,WEB,WEB,WEB,2,1.07,4719,60.03333333333333,58.95,0,0.0,0.0,,,
infrastructure,15520,15646,OT Cloturé,,endommage,Moyen,non,False,False,False,False,PPR,PPR01,Voies de circulation,Panneaux de signalisation,PPR,LO,Animateur 01,Non,2025-03-30 12:52:00,Animateur 01,2025-03-30 12:52:00,sup-nzala- 01,2025-04-08 21:08:00,sup-nzala- 01,2025-04-08 21:14:00,Réparation l'état du totem,,,,Said Touil,2025-04-10 17:01:00,,,,NZALA,19.32,0.0,0.0,19.32,"_x000d_
Chute d'un totem (n°09) au niveau du parking du quai 05._x000d_
Chute d'un totem (n°09) au niveau du parking du quai 05._x000d_
_x000d_
Chute d'un totem (n°09) au niveau du parking du quai 05.",WEB,WEB,WEB,WEB,WEB,WEB,4,0.09,42729,224.36666666666667,224.26666666666668,0,0.0,0.0,,,
infrastructure,15519,15645,OT Cloturé,,endommage,Moyen,non,True,False,False,False,PPR,PPR01,Voies de circulation,Panneaux de signalisation,PPR,TR,Animateur 01,Non,2025-03-30 12:46:00,Animateur 01,2025-03-30 12:46:00,sup-nzala- 01,2025-04-08 21:11:00,sup-nzala- 01,2025-04-08 21:14:00,Réparé,,,,Said Touil,2025-04-19 08:57:00,,,,NZALA,7.77,0.0,0.0,7.77,le panneau de signalisation des consignes de sécurité est endommagé à l'entrée de la zone de stockage import.,WEB,WEB,WEB,WEB,WEB,WEB,3,0.05,42630,224.46666666666667,224.41666666666666,0,0.0,0.0,,,
infrastructure,15518,15644,OT Realisé,,Brèche à la clôture ,Moyen,non,False,False,False,False,TM1,TM01,Clôture,Clôture,Canal Clôture,Canal Clôture 198,C3 -PRINCIPALE ,Non,2025-03-30 08:29:00,C3 -PRINCIPALE ,2025-03-30 08:29:00,sup-nzala- 01,2025-04-16 16:19:00,sup-nzala- 01,2025-04-16 16:54:00,Traité,,,,,,,,,NZALA,1255.39,0.0,0.0,1255.39,"Des brèches à la clôture du nouveau SAS Import, clôture séparant le SAS Import et parking utilisé pour les unités export (avant ZRE) ",WEB,WEB,WEB,WEB,WEB,WEB,3,8.08,24221,416.4166666666667,415.8333333333333,0,0.0,0.0,,,
infrastructure,15517,15643,OT Cloturé,,endommage,Moyen,non,False,False,False,False,PPR,PPR01,Voies de circulation,Panneaux de signalisation,PPR,CI,Animateur 01,Non,2025-03-30 05:24:00,Animateur 01,2025-03-30 05:24:00,sup-nzala- 01,2025-04-08 21:12:00,sup-nzala- 01,2025-04-08 21:19:00,La plaque a été réparée,,,,Said Touil,2025-04-18 13:31:00,,,,NZALA,18.64,0.0,0.0,18.64,Panneau de signalisation endommagé au quai 06 au TPR.,WEB,WEB,WEB,WEB,WEB,WEB,3,0.12,42633,231.91666666666666,231.8,0,0.0,0.0,,,
infrastructure,15516,15642,OT Rejeté,,Dégradation,Moyen,non,False,False,False,False,PPR,PPR01,Regard d'assainissement,Regard EU-EPL,PPR Regard EU-EPL,PPR Regard EU-EPL 186,Animateur 01,Non,2025-03-30 05:21:00,Animateur 01,2025-03-30 05:21:00,,,,,,,,,,,Said Touil,2025-10-21 16:52:00,traité par NZALA,TMU-HY,0.0,0.0,0.0,0.0,"Une grille caniveau à souder en face la rampe de quai 06 au TPR._x000d_
",WEB,WEB,WEB,WEB,WEB,WEB,0,0.0,33102,,,0,0.0,0.0,,,
infrastructure,15515,15641,OT Crée,,Endommagement ,Moyen,non,False,False,False,False,TM1,TM01,Voies de circulation,Voie de roulement,Voirie,Voirie,animateur 02,Non,2025-03-29 21:50:00,animateur 02,2025-03-29 21:50:00,,,,,,,,,,,,,,CAMPEZO,0.0,0.0,0.0,0.0,"Morceau de fer d’un panneau de signalisation, tranchant, situé au niveau de la voie du parking L SAS EXPORT TM1.",WEB,WEB,WEB,WEB,WEB,WEB,0,0.0,535,,,0,0.0,0.0,,,
equipement,15514,15640,OT Cloturé,,Defaillance de la batterie   ,Moyen,non,False,False,False,False,PPR,PPR01,Equipement de balisage maritime,Feu d'extrémité,Feu d'extrémité,Feu d'extrémité quai 4 Blanc,VTS- 01,Non,2025-03-29 19:59:00,VTS- 01,2025-03-29 19:59:00,SUP-TMU-EQ 09,2025-04-02 11:41:00,SUP-TMU-EQ 09,2025-04-02 11:54:00,changement de batterie 12v et réparation d'un câble d'alimentation au niveau de feu d'extrémité Q4 TPR ,,,,Said Touil,2025-04-18 13:32:00,,,,TMU,10.56,0.0,0.0,10.56,FEU PPR P4 DUC D'ALB est Eteint,WEB,WEB,WEB,WEB,WEB,WEB,2,0.19,190,87.91666666666667,87.7,0,0.0,0.0,,,
infrastructure,15513,15639,OT Cloturé,,Désherbage ,Moyen,non,False,False,False,False,TM1,SAS EXPORT,Espace vert,Espace vert,Sas Export Espace vert,Sas Export Espace vert 2,animateur 02,Non,2025-03-29 14:09:00,animateur 02,2025-03-29 14:09:00,SUP-AQU-INF- 01,2025-04-03 19:22:00,SUP-AQU-INF- 01,2025-04-03 20:13:00,La tant du gazon,,,,Soufiane chegdali,2025-04-11 19:45:00,,,,AQUARELLE FLEUR,0.0,0.0,0.0,0.0,Espace vert nécessite une opération de désherbage au niveau de parking accroche décroche SAS EXPORT TM1,WEB,MOBILE,MOBILE,WEB,WEB,WEB,0,0.0,23155,126.06666666666666,125.21666666666667,0,0.0,0.0,,,
batiment,15512,15638,OT Cloturé,PDR Indisponible : Canon,Serrure endommagé ,Moyen,non,False,False,False,False,TM1,TMPC01,Equipement lot archi / Menuiserie ,Porte  bois,Secteur 3,Porte 1,Animateur 01,Non,2025-03-29 10:48:00,Animateur 01,2025-03-29 10:48:00,sup-tmu-bat- 05,2025-04-03 13:20:00,sup-tmu-bat- 05,2025-04-09 15:24:00,"Changement de poignée et installation de serrure _x000d_
(pdr  stock 0)",,,,Hamza Elguetioui,2025-04-29 09:56:00,,,,TMU,60.32,0.0,0.0,60.32,Manque de serrure de porte au local technique de la salle de contrôle import,WEB,WEB,WEB,WEB,WEB,WEB,1,1.16,88862,268.6,122.53333333333333,0,0.0,0.0,,,
infrastructure,15511,15637,OT Cloturé,,Travaux de maintenance,Moyen,non,False,False,False,False,MEDHUB,ZFL01,Terre plein,Parking,ZFL Parking,ZFL Parking 14,Matière   dangereuse ,Non,2025-03-29 08:02:00,Matière   dangereuse ,2025-03-29 08:02:00,sup-nzala- 01,2025-04-15 13:17:00,sup-nzala- 01,2025-04-16 19:45:00,Le support de la plaque a été fixé,,,,zakariae lotfi,2025-06-25 10:06:00,,,,NZALA,0.0,0.0,0.0,0.0,une plaque de signalisation routière arrachée entre lot 120 et lot 110 de ZFL1,WEB,WEB,WEB,WEB,WEB,WEB,1,30.46,28049,443.71666666666664,413.25,0,0.0,0.0,,,
infrastructure,15510,15636,OT Rejeté,,Dégradation,Moyen,non,False,False,False,False,PPR,PPR01,Regard d'assainissement,Regard EU-EPL,PPR Regard EU-EPL,PPR Regard EU-EPL 115,Animateur 01,Non,2025-03-29 01:37:00,Animateur 01,2025-03-29 01:37:00,,,,,,,,,,,Said Touil,2025-10-21 16:52:00,traité par NZALA,TMU-HY,0.0,0.0,0.0,0.0,Une grille caniveau à souder au niveau de la voie de dégagement de quai 03.,WEB,WEB,WEB,WEB,WEB,WEB,0,0.0,33031,,,0,0.0,0.0,,,
batiment,15509,15635,OT Cloturé,,Habillage dégradé ,Moyen,non,False,False,False,False,TM1,TMPC01,Equipement lot archi / Menuiserie ,Cloison,Gare Maritime TMPC,Cloison ,Animateur 01,Non,2025-03-29 01:33:00,Animateur 01,2025-03-29 01:33:00,sup-tmu-bat- 05,2025-04-04 11:23:00,sup-tmu-bat- 05,2025-04-04 12:42:00,Réparation de l'habillage mural à la passerelle des chariots à bagages,,,,Chaymae Farah,2025-07-17 20:56:00,,,,TMU,67.6,0.0,0.0,67.6,"Habillage murale endommagée, au passerelle des chariots à bagages près de la porte n 03 à la gare maritime.",WEB,WEB,WEB,WEB,WEB,WEB,1,1.3,159083,155.15,153.83333333333334,0,0.0,0.0,,,
infrastructure,15508,15634,OT Realisé,,PORTAILS ENDOMMAGE,Moyen,non,False,False,False,False,TM1,TM01,Clôture,Portail mécanique,GATE2,Portail mécanique01,Animateur 01,Non,2025-03-29 01:27:00,Animateur 01,2025-03-29 01:27:00,sup-nzala- 01,2025-04-15 13:17:00,sup-nzala- 01,2025-04-16 19:44:00,La structure de mini-portail a été traité,,,,,,,,,NZALA,2925.89,0.0,0.0,2925.89,Mini-portail endommagé  au parking de MD à la zone stockage import.,WEB,WEB,WEB,WEB,WEB,WEB,2,30.44,34631,450.28333333333336,419.8333333333333,0,0.0,0.0,,,
infrastructure,15507,15633,OT Cloturé,,endommage,Moyen,non,False,False,False,False,PPR,PPR01,Voies de circulation,Panneaux de signalisation,PPR,CI,Animateur 01,Non,2025-03-29 01:23:00,Animateur 01,2025-03-29 01:23:00,sup-nzala- 01,2025-04-15 13:16:00,sup-nzala- 01,2025-04-16 19:26:00,La plaque a été traitée,,,,Said Touil,2025-05-02 20:40:00,,,,NZALA,2896.09,0.0,0.0,2896.09,"Plaque de signalisation endommagée au niveau de la route périphérique, en face du parking du quai 03 au TPR.",WEB,WEB,WEB,WEB,WEB,WEB,2,30.13,42667,450.05,419.8833333333333,0,0.0,0.0,,,
infrastructure,15506,15632,OT Cloturé,,endommage,Moyen,non,False,False,False,False,PPR,PPR01,Voies de circulation,Panneaux de signalisation,PPR,TR,Animateur 01,Non,2025-03-29 01:20:00,Animateur 01,2025-03-29 01:20:00,sup-nzala- 01,2025-04-15 13:16:00,sup-nzala- 01,2025-04-16 19:23:00,La plaque a été traitée,,,,Said Touil,2025-04-18 13:33:00,,,,NZALA,2893.22,0.0,0.0,2893.22,Panneau de signalisation arrachée en face parking n° 09 au TPR.,WEB,WEB,WEB,WEB,WEB,WEB,2,30.1,42631,450.05,419.93333333333334,0,0.0,0.0,,,
infrastructure,15505,15631,OT Crée,,Dégradtion du sol,Moyen,non,False,False,False,False,TM1,ZEXT01,Voies de circulation,Voie de roulement,RN16,Voirie,Matière   dangereuse ,Non,2025-03-29 01:19:00,Matière   dangereuse ,2025-03-29 01:19:00,,,,,,,,,,,,,,CAMPEZO,0.0,0.0,0.0,0.0,Dégradation du sol au niveau de giratoire DALIA ,WEB,WEB,WEB,WEB,WEB,WEB,0,0.0,549,,,0,0.0,0.0,,,
infrastructure,15504,15630,OT Realisé,,Arrachement,Moyen,non,False,False,False,False,TM1,SAS IMPORT,Clôture,Clôture,Sas Import Clôture,Sas Import Clôture 125,animateur 02,Non,2025-03-28 21:40:00,animateur 02,2025-03-28 21:40:00,sup-nzala- 01,2025-04-15 13:16:00,sup-nzala- 01,2025-04-16 19:19:00,Traité,,,,,,,,,NZALA,2888.4,0.0,0.0,2888.4,Clôture endommagée au niveau de giratoire SAS IMPORT en face du scanner 606,WEB,WEB,WEB,WEB,WEB,WEB,2,30.05,25304,453.65,423.6,0,0.0,0.0,,,
equipement,15503,15629,OT Cloturé,,Lampes éteints ,Moyen,non,False,False,True,False,TM1,ZEXT01,Equipement Electrique,Emblème,Emblème,Emblème,SUP-TMU-EQ 09,Non,2025-03-28 14:10:00,Chaymae Farah,2025-03-28 14:57:00,SUP-TMU-EQ 09,2025-03-28 15:05:00,SUP-TMU-EQ 09,2025-04-06 22:06:00,"changement des 65 réglettes au niveau de lo mot (الله) et réparation d’un court-circuit au niveau de de la lettre (و) de le mot (الوطن) _x000d_
- ⁠changement des dominos et serrage des connexions _x000d_
- ⁠refixation des autres réglettes",,,,Chaymae Farah,2025-07-17 20:54:00,,,,TMU,73977.04,16888.0,0.0,90865.04,des lampes éteint au niveau de l'emblème ,MOBILE,WEB,WEB,WEB,WEB,WEB,4,221.94,2145,223.93333333333334,0.13333333333333333,9,106.0,16888.0,"scotch noir électrique, Barrette de connexion 2,5mm, Colliers de serrage 7,6X340mm 100PCS, silicone, Répartiteur 100A","ELECTRICITE, DIVERS",cloture
batiment,15502,15625,OT Cloturé,,Travaux de maintenance,Moyen,non,False,False,False,False,TMSA,TMSA,Equipement lot archi / Menuiserie ,Porte  bois,Siège TMSA-Tanger,Porte bois 1- Extérieur ,Sup-MMI- TMSA,Non,2025-03-28 11:48:00,Chaymae Farah,2025-03-28 11:56:00,Sup-MMI- TMSA,2025-03-28 11:57:00,Sup-MMI- TMSA,2025-03-28 12:11:00,Changement robinet toilettes guerite sécurité,,,,Chaymae Farah,2025-03-29 02:04:00,,,,MMI,22.75,0.0,0.0,22.75,Changement robinet toilettes guerite sécurité  ,MOBILE,WEB,WEB,WEB,WEB,WEB,1,0.21,1244797,0.38333333333333336,0.016666666666666666,0,0.0,0.0,,,
equipement,15501,15623,OT Cloturé,,Problème d'alimentation électrique,Moyen,oui,False,False,False,False,TM1,TM01,"Equipement de sécurité, contôle et exploitation",Potence,Quai de service ,Potence QS,Matière   dangereuse ,Non,2025-03-28 08:09:00,Soufiane chegdali,2025-03-28 10:45:00,SUP-TMU-EQ 09,2025-04-11 15:32:00,SUP-TMU-EQ- 03,2025-04-16 13:19:00,Renforcement de la fixation du cache de potence par soudage d’un fer plat en acier et changement des écrous rouillés au niveau de la potence QS1,,,,Soufiane chegdali,2025-04-16 20:47:00,,,,TMU,6542.75,0.0,0.0,6542.75,Une partie de tôle a été arrachée de la potence située au niveau du quai de service TM1.,MOBILE,WEB,WEB,WEB,WEB,MOBILE,2,117.76,1956,461.1666666666667,340.78333333333336,0,0.0,0.0,,,
infrastructure,15500,15593,OT Cloturé,,Déformation,Moyen,non,False,False,False,False,MEDHUB,ZFL01,Terre plein,Parking,ZFL Parking,ZFL Parking 6,animateur 02,Non,2025-03-26 12:59:00,zakariae lotfi,2025-03-28 10:36:00,sup-nzala- 01,2025-04-15 13:16:00,sup-nzala- 01,2025-04-16 18:58:00,La trappe de caniveau a été posée à sa place,,,,zakariae lotfi,2025-06-25 10:06:00,,,,NZALA,0.0,0.0,0.0,0.0,Grille de protection du caniveau mal posée à proximité de l'entrepôt de la société FRIOPUERTO au niveau de ZFL1.,MOBILE,WEB,WEB,WEB,WEB,WEB,1,29.69,28041,509.98333333333335,434.6666666666667,0,0.0,0.0,,,
equipement,15499,15609,OT Cloturé,,Problème de batterie,Moyen,non,False,False,False,False,MEDHUB,ZFL01,Equipement Electrique,Groupe électrogène,Entrepôt 60,Groupe électrogène LOT 60-70,SUP-TMU-EQ- 03,Non,2025-03-27 09:35:00,zakariae lotfi,2025-03-28 10:35:00,sup-tmu-bat-eq- 08,2025-04-14 11:55:00,sup-tmu-bat-eq- 08,2025-04-16 09:40:00,Changement batteries G E LOT60,,,,zakariae lotfi,2025-06-25 10:05:00,,,,TMU,7944.31,0.0,0.0,7944.31,Batterie faible ,MOBILE,WEB,WEB,WEB,WEB,WEB,2,45.72,5611,480.0833333333333,409.3333333333333,0,0.0,0.0,,,
infrastructure,15498,15613,OT Cloturé,,Dégradation,Moyen,non,False,False,False,False,MEDHUB,ZFL01,Terre plein,Parking,ZFL Parking,ZFL Parking 14,animateur 02,Non,2025-03-27 11:29:00,zakariae lotfi,2025-03-28 10:34:00,sup-nzala- 01,2025-04-15 13:16:00,sup-nzala- 01,2025-04-16 18:55:00,Le support a été fixé à sa place,,,,zakariae lotfi,2025-06-25 10:05:00,,,,NZALA,0.0,0.0,0.0,0.0,Panneau de signalisation routière endommagée à proximité de l'entrepôt de la société HITEK au niveau de ZFL1.,MOBILE,WEB,WEB,WEB,WEB,WEB,1,29.64,28049,487.43333333333334,434.7,0,0.0,0.0,,,
infrastructure,15497,15624,OT Cloturé,,Déchets,Moyen,non,False,False,False,False,TM1,ZEXT01,Voies de circulation,Voie de roulement,RN16,Voirie,SUP-TMU- CN,Non,2025-03-28 10:05:00,Chaymae Farah,2025-03-28 10:11:00,SUP-TMU-BASS-INF- 01,2025-04-02 15:57:00,SUP-TMU-BASS-INF- 01,2025-04-03 09:02:00,évacuation des déchets délaissés,,,,Chaymae Farah,2025-07-17 20:48:00,,,,TMU,5488.35,0.0,0.0,5488.35,Roue délaissée,MOBILE,WEB,WEB,WEB,WEB,WEB,2,17.07,302,142.95,125.76666666666667,0,0.0,0.0,,,
batiment,15496,15617,OT Cloturé,,Manque de courant ,Moyen,non,False,False,False,False,TMSA,TMSA,Equipement électrique,Colonne de prise,Siège TMSA-Tanger,Prise de courant 1,Sup-MMI- TMSA,Non,2025-03-27 14:47:00,Chaymae Farah,2025-03-28 10:08:00,Sup-MMI- TMSA,2025-03-28 10:44:00,Sup-MMI- TMSA,2025-03-28 11:14:00,Réparation de prise de courant au restaurant RDC,,,,Chaymae Farah,2025-03-29 02:03:00,,,,MMI,53.08,0.0,0.0,53.08,Réparation de prise de courant au restaurant RDC,MOBILE,WEB,WEB,WEB,WEB,WEB,1,0.49,1245154,20.45,0.6,0,0.0,0.0,,,
batiment,15495,15618,OT Cloturé,,Travaux de maintenance,Moyen,non,False,False,False,False,TMSA,TMSA,Equipement éclairage,Spot,Siège TMSA-Tanger,Spot 7,Sup-MMI- TMSA,Non,2025-03-27 14:49:00,Chaymae Farah,2025-03-28 10:07:00,Sup-MMI- TMSA,2025-03-28 10:42:00,Sup-MMI- TMSA,2025-03-28 11:10:00,Re fixation de plaque faux plafond au resto,,,,Chaymae Farah,2025-03-29 02:00:00,,,,MMI,45.5,0.0,0.0,45.5,Re fixation de plaque faux plafond au resto,MOBILE,WEB,WEB,WEB,WEB,WEB,1,0.42,1244921,20.35,0.5833333333333334,0,0.0,0.0,,,
batiment,15494,15619,OT Cloturé,,Problème de fixation de WC,Moyen,non,False,False,False,False,TMSA,TMSA,Equipement plomberie et sanitaire,WC Sanitaire,Siège TMSA-Tanger,WC Sanitaire 1,Sup-MMI- TMSA,Non,2025-03-27 14:52:00,Chaymae Farah,2025-03-28 10:07:00,Sup-MMI- TMSA,2025-03-28 10:40:00,Sup-MMI- TMSA,2025-03-28 11:06:00,Re fixation de abattant de toilette femmes RDC zone salle conférence,,,,Chaymae Farah,2025-03-29 02:00:00,,,,MMI,43.33,0.0,0.0,43.33,Re fixation de abattant de toilette femmes RDC zone salle conférence,MOBILE,WEB,WEB,WEB,WEB,WEB,1,0.4,1244626,20.233333333333334,0.55,0,0.0,0.0,,,
batiment,15493,15622,OT Rejeté,,Fissure,Moyen,non,False,False,False,False,PPR,GATE3,Element de structure ,Toiture,Zone Billetterie,Toiture ,Said Touil,Non,2025-03-27 22:40:00,Said Touil,2025-03-27 22:40:00,,,,,,,,,,,Said Touil,2025-05-16 12:47:00,traité par TMU,NZALA,0.0,0.0,0.0,0.0,Barre en marbre murale arrachée et fissuré  de la caféterie à la zone billetterie.,WEB,WEB,WEB,WEB,WEB,WEB,0,0.0,138234,,,0,0.0,0.0,,,
equipement,15492,15620,OT Cloturé,,Non-transmission des données,Moyen,non,False,False,False,False,PPR,PPR01,Equipement de Protection cathodique,Transformateur protection cathodique,PPR,Transformateur PC 4 JETTY 7,hassan  Lkhal,Non,2025-03-27 15:23:00,Said Touil,2025-03-27 22:36:00,SUP-TMU-EQ 09,2025-04-25 12:34:00,SUP-TMU-EQ 09,2025-05-12 13:06:00,Changement de transformateur 24V au niveau de poste cathodique JETTY 5/6 TPR,,,,Said Touil,2025-05-12 20:23:00,,,,TMU,11892.31,0.0,0.0,11892.31,Problème au niveau d'alimentation du système de transmission des données,MOBILE,WEB,WEB,WEB,WEB,WEB,1,408.53,245,1101.7166666666667,685.9666666666667,0,0.0,0.0,,,
infrastructure,15491,15621,OT Rejeté,,Dégradation,Moyen,non,True,False,False,False,PPR,PPR01,Terre plein,Parking,Parking Tir,Parking Tir,Said Touil,Non,2025-03-27 22:21:00,Said Touil,2025-03-27 22:21:00,,,,,,,,,,,Zakaria El marzak,2025-05-15 16:13:00,Sera traité dans le cadre d'une l'AO / travaux de construction d'une LG en BA ,NZALA,0.0,0.0,0.0,0.0,Les chasses roues nécessitent le fixation,WEB,WEB,WEB,WEB,WEB,WEB,0,0.0,28011,,,0,0.0,0.0,,,
equipement,15490,15599,OT En cours,PDR Indisponible : indisponible,sous-tension,Moyen,non,False,False,False,False,TM1,SAS IMPORT,Equipement Electrique,Onduleur,Sas Import,Onduleur-LT-SAS-IMPORT 1-TGBT,SUP-TMU-EQ- 03,Oui,2025-03-26 15:47:00,Soufiane chegdali,2025-03-27 15:43:00,SUP-TMU-EQ 09,2025-06-21 17:59:00,,,,,,,,,,,,TMU,0.0,0.0,0.0,0.0,Problème de carte électronique et 3 ventilateurs hors service,MOBILE,WEB,WEB,WEB,WEB,WEB,0,0.0,5206,,2066.266666666667,0,0.0,0.0,,,
equipement,15489,15600,OT Realisé,PDR Indisponible : indisponible,sous-tension,Moyen,non,False,False,False,False,TM1,SAS IMPORT,Equipement Electrique,Onduleur,Sas Import,Onduleur-LT-SAS-IMPORT-BAT-BNG,SUP-TMU-EQ- 03,Oui,2025-03-26 15:55:00,Soufiane chegdali,2025-03-27 15:43:00,SUP-TMU-EQ 09,2025-06-21 17:59:00,SUP-TMU-EQ 09,2025-07-27 22:28:00,"Changement de 64 batteries 12v/9Ah au niveau de l’onduleur 30kva , png ancien sas import",,,,,,,,,TMU,5938.75,0.0,0.0,5938.75,Prévoir de changement des batteries,MOBILE,WEB,WEB,WEB,WEB,WEB,2,47.51,5212,2958.55,2066.266666666667,0,0.0,0.0,,,
batiment,15488,15614,OT Cloturé,,Chasse endommagé ,Moyen,non,False,False,True,False,PPR,PPR01,Equipement plomberie et sanitaire,WC Sanitaire,Sanitaire 3,WC Sanitaire 2,sup-tmu-bat- 05,Non,2025-03-27 12:45:00,Said Touil,2025-03-27 15:17:00,sup-tmu-bat- 05,2025-03-27 15:28:00,sup-tmu-bat- 05,2025-03-28 10:00:00,Changement de mécanisme ,,,,Said Touil,2025-04-04 11:36:00,,,,TMU,962.0,700.0,0.0,1662.0,Le mécanisme de la chasse d'eau est endommagé WC Scanner mobile GATE2,MOBILE,WEB,WEB,WEB,WEB,WEB,1,18.5,1241715,21.25,0.18333333333333332,1,1.0,700.0,Mécanisme chasse d'eau pour WC standard et suspendu,PLOMBERIE,cloture
batiment,15487,15616,OT Cloturé,,Porte bloqué ,Moyen,non,False,False,False,False,PPR,GATE2,Equipement lot archi / Menuiserie ,Porte  bois,Bureaux douane et police,Porte 1,sup-tmu-bat- 05,Non,2025-03-27 13:37:00,Said Touil,2025-03-27 15:16:00,sup-tmu-bat- 05,2025-03-27 15:27:00,sup-tmu-bat- 05,2025-03-28 09:49:00,Déblocage des portes ,,,,Said Touil,2025-05-12 20:25:00,,,,TMU,954.2,0.0,0.0,954.2, Plusieurs portes sont actuellement bloquées. Cette anomalie nécessite une intervention pour permettre leur ouverture et garantir le bon fonctionnement des accès. GATE2,MOBILE,WEB,WEB,WEB,WEB,WEB,1,18.35,140631,20.2,0.18333333333333332,0,0.0,0.0,,,
batiment,15486,15615,OT Cloturé,,Poigné endommagé ,Moyen,non,False,False,False,False,TMSA,TMSA,Equipement lot archi / Menuiserie ,Porte aluminium,Siège TMSA-Tanger,Porte Aluminium 1 ,Sup-MMI- TMSA,Non,2025-03-27 13:15:00,Chaymae Farah,2025-03-27 14:29:00,Sup-MMI- TMSA,2025-03-28 09:51:00,Sup-MMI- TMSA,2025-03-28 10:48:00,Changement de poignée porte Bungalows Extérieur,,,,Chaymae Farah,2025-03-29 02:01:00,,,,MMI,100.75,0.0,0.0,100.75,Changement de poignée porte Bungalows Extérieur  ,MOBILE,WEB,WEB,WEB,WEB,WEB,1,0.93,1244800,21.55,19.366666666666667,0,0.0,0.0,,,
batiment,15485,15611,OT Cloturé,,Fuite d'eau ,Moyen,non,False,False,True,False,TM2,TM02,Equipement plomberie et sanitaire,Robinet ,PNG,Robinet,sup-tmu-bat- 05,Non,2025-03-27 10:29:00,Said Touil,2025-03-27 11:00:00,sup-tmu-bat- 05,2025-03-27 11:02:00,sup-tmu-bat- 05,2025-04-07 09:24:00,Changement de robinet ,,,,Said Touil,2025-04-07 21:34:00,,,,TMU,13587.6,820.0,0.0,14407.6,Robinet endommagée au Local sanitaire PNG TM2,MOBILE,WEB,WEB,WEB,WEB,WEB,1,261.3,1227522,262.9166666666667,0.03333333333333333,1,1.0,820.0,Robinet lavabo mitigeur,PLOMBERIE,cloture
