article,total_cost,total_quantity,request_count,cumulative_cost,cumulative_pct
Fourniture de Bouton cabine.,5400.0,6.0,4,12508302.200000001,93.52765466859596
Câble cuivre U1000 R2V Ø3*4 MM2,5356.0,206.0,4,12513658.200000001,93.56770279906127
Boitier de commande,5300.0,1.0,1,12518958.200000001,93.60733220374127
Robinet équerre MEDHUB,5280.0,33.0,15,12524238.200000001,93.64681206349795
Borne sur rails 70mm,5135.0,79.0,13,12529373.200000001,93.68520772256056
POIGNÉE PORTE BOIS (PAIR) MEDHUB,5115.0,11.0,3,12534488.200000001,93.72345383669985
Câble U1000 R2V 3G4mm²,5100.0,204.0,15,12539588.200000001,93.76158779214664
Disjoncteur différentiel 4P 20A 300mA,5080.0,4.0,2,12544668.200000001,93.7995722026701
Coiffe d'acrotère lot 60-70 (similaire à l'existant),5040.0,12.0,1,12549708.200000001,93.83725752334693
Coiffe d'acrotère lot 71 (similaire à l'existant),5040.0,12.0,1,12554748.200000001,93.87494284402376
Coiffe d'acrotère lot 110 (similaire à l'existant),5040.0,12.0,1,12559788.200000001,93.9126281647006
Teinte de peinture laque noir,5028.0,419.0,97,12564816.200000001,93.95022375842345
"Câble CR1 de classe CR1/C1 2x1,5mm²- Résistant au feu""",5000.0,200.0,1,12569816.200000001,93.98760998925363
Fourniture de Miroir cabine OTIS.,5000.0,1.0,1,12574816.200000001,94.02499622008382
Panneaux sandwich pour porte sectionnelle  dimensions 3500X600X80,5000.0,2.0,1,12579816.200000001,94.06238245091401
Mécanisme  chasse d'eau pour WC standard. w,4950.0,66.0,55,12584766.200000001,94.0993948194359
Déclencheur manuel adressable (Marque Techno Fire),4800.0,8.0,2,12589566.200000001,94.13528560103288
Sèche main automatique Inox	,4800.0,48.0,10,12594366.200000001,94.17117638262987
Robinet douche mitigeur avec accessoires MEDHUB,4760.0,7.0,6,12599126.200000001,94.20676807438021
Batterie M15 180Ah ,4700.0,2.0,1,12603826.200000001,94.2419111313606
Câble U1000R2V 5G4,4700.0,235.0,6,12608526.200000001,94.27705418834097
Câble de détection d'incendie (044030) 2xAWG20,4545.0,505.0,9,12613071.200000001,94.31103827216562
Roulements de guidage pour passerelle piétonne ZRS 00363,4500.0,1.0,1,12617571.200000001,94.34468587991279
Sélecteur à clé,4500.0,10.0,2,12622071.200000001,94.37833348765996
Lampe LED E27 15W  6500K	,4500.0,18.0,2,12626571.200000001,94.41198109540713
Indicateur de Passage GIropes GI400i,4500.0,1.0,1,12631071.200000001,94.4456287031543
Câble U1000R2V 5G25,4500.0,300.0,1,12635571.200000001,94.47927631090147
AEROSOL DEGRIPANT GT,4480.0,32.0,12,12640051.200000001,94.51277437372532
Panel LED Rond encastré 18W 6500°K,4420.0,85.0,22,12644471.200000001,94.5458238017792
Sonde d'eau,4400.0,4.0,2,12648871.200000001,94.57872368490978
"Fléxible 1/2 ""simple-simple"" 2M Ø275 BAR",4200.0,7.0,4,12653071.200000001,94.61012811880714
Thermomètre,4200.0,6.0,5,12657271.200000001,94.6415325527045
Lampes LED B22 15W 6500K,4190.0,419.0,190,12661461.200000001,94.6728622141402
Câble U1000R2V 5G6,4180.0,220.0,7,12665641.200000001,94.70411710311424
Vase d'expansion de Circuite hydraulique de PAC,4176.0,2.0,2,12669817.200000001,94.73534208310362
Diluant 5L,4116.0,294.0,115,12673933.200000001,94.76611842832303
Contre bardage lot 110 (similaire à l'existant),4032.0,12.0,1,12677965.200000001,94.79626668486448
Contre bardage lot 71 (similaire à l'existant),4032.0,12.0,1,12681997.200000001,94.82641494140596
Diluant D44 toluene,4000.0,200.0,39,12685997.200000001,94.8563239260701
Barre anti panique,4000.0,200.0,4,12689997.200000001,94.88623291073426
spot LED GU10,4000.0,125.0,44,12693997.200000001,94.91614189539841
Serrure CF réversible,4000.0,10.0,7,12697997.200000001,94.94605088006256
Moteur de quai niveleur,4000.0,2.0,2,12701997.200000001,94.97595986472672
Batterie plomb-étanche (sans entretien) 12V-12Ah/C20 avec leurs connectiques,3971.0,19.0,1,12705968.200000001,95.00565200925205
Siphon de sol  inox 15*15,3960.0,33.0,16,12709928.200000001,95.03526190406957
Tige fileté Ø20mm,3960.0,120.0,3,12713888.200000001,95.06487179888707
huile 80W-90,3960.0,80.0,4,12717848.200000001,95.0944816937046
Réglette LED 2x18W Etanche,3925.0,157.0,12,12721773.200000001,95.12382988490629
Bobine d'électrovanne 230V électrique d'électrovanne,3920.0,8.0,4,12725693.200000001,95.15314068987716
Culotte 110 CPVC HP,3915.0,45.0,3,12729608.200000001,95.1824141086172
Poignée Modèle CF anti-accrochage,3900.0,13.0,8,12733508.200000001,95.21157536866475
Armature LED 240W MEDHUB,3860.0,193.0,8,12737368.200000001,95.24043753886565
Flow switch de circuit hydraulique de PAC,3828.0,2.0,1,12741196.200000001,95.26906043718924
Cable armé cuivre 4*10,3760.0,80.0,1,12744956.200000001,95.29717488277355
COND DE PORTAIL,3750.0,25.0,4,12748706.200000001,95.32521455589618
Siphon de sol  inox 20*20,3750.0,25.0,15,12752456.200000001,95.35325422901883
Siphon de sol anti-odeur inoxydable,3720.0,62.0,6,12756176.200000001,95.38106958475649
Huile moteur réf : (15W40 TOTAL),3675.0,35.0,1,12759851.200000001,95.40854846441668
Douille GU10 MEDHUB,3655.0,43.0,14,12763506.200000001,95.43587779915356
Poignée porte aluminium blanc en pair. w,3640.0,104.0,94,12767146.200000001,95.46309497519793
Cadenas pour vanne poste de contrôle (similaire à l'existant),3612.0,6.0,1,12770758.200000001,95.49010278834966
Roue de portail - Forte charge 400KG,3600.0,6.0,3,12774358.200000001,95.5170208745474
Boite de jonction pour capteur numérique de 60T,3600.0,2.0,1,12777958.200000001,95.54393896074514
T 110 PVC HP,3600.0,45.0,4,12781558.200000001,95.57085704694288
Serrure CLIDOR,3564.0,22.0,22,12785122.200000001,95.59750595227864
Filtre à huile réf : FPT 500086363,3560.0,4.0,2,12788682.200000001,95.62412494862973
Tube 110 PVC HP,3552.5,101.5,21,12792234.700000001,95.65068786563458
Cable rigide R2V 5G4mm²,3540.0,60.0,1,12795774.700000001,95.67715731706235
Split 12000 complet,3500.0,7.0,7,12799274.700000001,95.70332767864349
Split 18000 complet,3500.0,7.0,2,12802774.700000001,95.72949804022463
Fourniture de Switch fin de course à galet,3500.0,10.0,5,12806274.700000001,95.75566840180575
Robinet de service,3481.0,59.0,41,12809755.700000001,95.78169669570973
Disjoncteur 2P 16A,3410.0,55.0,55,12813165.700000001,95.80719410513592
Tube gorgé double paroi de diamètre 110mm,3400.0,200.0,1,12816565.700000001,95.83261674210046
Boite a boutons poussoire (3 bouton)  de commande de porte sectionnelle,3385.0,5.0,5,12819950.700000001,95.8579272203725
Coiffe d'acrotère lot 120 (similaire à l'existant),3360.0,8.0,1,12823310.700000001,95.88305076749037
Connecteur de raccordement électrique d'électrovanne ,3360.0,12.0,4,12826670.700000001,95.90817431460826
Colle PVC. w,3360.0,32.0,17,12830030.700000001,95.93329786172615
Tube LED (T8) 9W 6500K	,3360.0,28.0,2,12833390.700000001,95.95842140884405
"Cylindre de serrure TC6 (7,5CM)",3360.0,14.0,6,12836750.700000001,95.98354495596193
Siphon de sol  inox 10*10,3325.0,35.0,19,12840075.700000001,96.00840679946401
"Colliers de serrage 7,6X340mm 100PCS",3320.0,83.0,34,12843395.700000001,96.03323125673525
Starters S2 / 22w,3312.0,414.0,92,12846707.700000001,96.05799589603717
Tube 40 PEHD HP,3300.0,330.0,6,12850007.700000001,96.08267080838509
Poignée aluminium (Pair)	,3250.0,5.0,3,12853257.700000001,96.10697185842471
"Colliers de serrage 3,6X300mm 100PCS",3240.0,81.0,17,12856497.700000001,96.13119813600268
Pressostat mécanique de 16 BAR de marque DANFOSS.,3240.0,2.0,1,12859737.700000001,96.15542441358065
Graisse à base de lithium EP CL 2,3230.0,34.0,7,12862967.700000001,96.17957591869694
Robinet de service de 1/2 pouce en laiton. w,3217.5,99.0,63,12866185.200000001,96.20363395823618
Tube gorgé double paroi de diamétre 70mm,3200.0,400.0,2,12869385.200000001,96.2275611459675
"Lampe LED PLC 8,5W 6500K",3159.0,351.0,14,12872544.200000001,96.25118176660602
Flexible gasoil 3/8 F/F simple coude 90° (7m),3150.0,5.0,3,12875694.200000001,96.27473509202903
Bouteille de fluide frigorigène R 410 A,3132.0,2.0,2,12878826.200000001,96.29815382702107
Revêtement PVC,3130.0,313.0,9,12881956.200000001,96.32155760752077
Batterie de démarrage 12v-75Ah-720A avec leur connectiques (sans entretien),3096.0,4.0,2,12885052.200000001,96.34470716165082
Mastic acrylique transparent  élastique,3080.0,22.0,8,12888132.200000001,96.36773707984221
Panel LED 60X60 40W 6000K MEDHUB,3050.0,122.0,20,12891182.200000001,96.39054268064864
Fourniture de main-courant courante cabine OTIS,3000.0,1.0,1,12894182.200000001,96.41297441914675
"Bras de Barriére rond 3,25m",3000.0,1.0,1,12897182.200000001,96.43540615764486
roulement GE 110 XT 2RS/X-LS pour vérin rampe mobile,3000.0,2.0,1,12900182.200000001,96.45783789614298
Câble U1000R2V 5G4 MEDHUB,3000.0,150.0,4,12903182.200000001,96.48026963464109
"Câble U1000R2V 5G2,5  MEDHUB",3000.0,150.0,4,12906182.200000001,96.50270137313922
Anodes sacrificielles boulonnées en Zinc type NZ3,2900.0,2.0,1,12909082.200000001,96.52438538702071
Tube 75 PVC HP,2900.0,58.0,9,12911982.200000001,96.54606940090223
Douchette,2838.0,33.0,30,12914820.200000001,96.56728982552144
Coude 75 45 PVC HP,2822.0,83.0,9,12917642.200000001,96.588390614202
Panel LED carré encastré 18W,2808.0,54.0,10,12920450.200000001,96.60938672143624
Disjoncteur différentiel 4P 25A 300mA,2800.0,2.0,1,12923250.200000001,96.63032301070115
Panneau inférieur avec profilé et joint bas 3500/600 mm,2800.0,1.0,1,12926050.200000001,96.65125929996606
"câble électrique U1000 R2V 5G2,5mm",2800.0,100.0,1,12928850.200000001,96.67219558923095
Distributeur savon liquide INOX TMSA,2800.0,4.0,3,12931650.200000001,96.69313187849586
Poignée porte bois (Pair),2790.0,6.0,2,12934440.200000001,96.71399339529911
Huile Hydraulique pour rampe mobile,2730.0,35.0,7,12937170.200000001,96.7344062773324
"Faux plafond suspandu 1,350*300MM*19MM",2720.0,34.0,4,12939890.200000001,96.75474438690402
Lampe LED PLL 25W,2700.0,300.0,1,12942590.200000001,96.77493295155232
Panneau de porte sectionelle,2660.0,1.0,1,12945250.200000001,96.79482242635397
Câble galvanisé,2640.0,220.0,1,12947890.200000001,96.81456235623233
Sable de mer 50 KG,2640.0,88.0,25,12950530.200000001,96.83430228611066
Ferme porte avec bras,2580.0,129.0,6,12953110.200000001,96.85359358121904
"Cuivre avec arma Flex 1/2, 1/4 rouleau 20m",2550.0,51.0,9,12955660.200000001,96.87266055894244
Scotch de marquage au sol,2534.0,362.0,22,12958194.200000001,96.89160790072718
"Colliers de serrage 4,7X370mm 100PCS",2520.0,63.0,21,12960714.200000001,96.9104505610656
Poignée fenêtre  aluminium blanc. w,2520.0,112.0,8,12963234.200000001,96.92929322140401
Kit douchette WC avec accessoires MEDHUB,2520.0,7.0,7,12965754.200000001,96.94813588174243
"câble SYT1 2*0,8 rouge pour détection incendie",2500.0,500.0,3,12968254.200000001,96.96682899715753
Fourniture de doigt magnétique KONE.,2500.0,1.0,1,12970754.200000001,96.98552211257262
Plaque alvéolaires en polycarbonate ep 10mm,2500.0,1.0,1,12973254.200000001,97.00421522798771
Manomètre,2500.0,5.0,4,12975754.200000001,97.02290834340282
Filtre hydraulique de retour HF 7906,2490.0,3.0,3,12978244.200000001,97.04152668635624
"câble électrique U1000 RO2V 3 x2,5mm",2475.0,150.0,1,12980719.200000001,97.06003287061719
Boite de mousse de polyuréthanne,2440.0,14.0,5,12983159.200000001,97.07827735126232
Scotch aluminium,2415.0,35.0,12,12985574.200000001,97.0963349007533
Joint d'étanchité bas pour portes sectionnelle épaisseur : 70 mm,2404.0,2.0,1,12987978.200000001,97.11431020053645
Cheville méttalique Ø20*80,2400.0,200.0,2,12990378.200000001,97.13225559133495
Filtre déshydrateur PARKER PR 305S,2400.0,2.0,2,12992778.200000001,97.15020098213344
Détecteurs optique adressable CAP112A (avec socle),2395.0,5.0,2,12995173.200000001,97.16810898670111
"câble électrique 3*2,5mm",2380.0,200.0,8,12997553.200000001,97.18590483257627
Barrette 100PCS 4mm²   ,2380.0,34.0,21,12999933.200000001,97.20370067845144
"Robinet poussoir lavabo ""VASQUE""",2350.0,26.0,26,13002283.200000001,97.22127220694163
Coude 45 110 PVC HP,2346.0,69.0,16,13004629.200000001,97.23881382644716
Vachette de bois,2304.0,32.0,24,13006933.200000001,97.25604140161371
Flexible gasoil bague 3/8 *3/8 F/F (3m),2300.0,2.0,1,13009233.200000001,97.2732390677956
Réglette étanch 1Xtube LED 127 Cm 1x25W classe M0,2300.0,10.0,8,13011533.200000001,97.29043673397749
Teinte de peinture vinylique noir,2292.0,191.0,15,13013825.200000001,97.30757458219004
Télécommande universelle,2280.0,38.0,4,13016105.200000001,97.32462270344861
Poignée porte coupe-feu,2250.0,3.0,2,13018355.200000001,97.34144650732219
Porte papier rouleau INOX,2240.0,7.0,7,13020595.200000001,97.35819553873412
Fourniture disjoncteur magnétothermique 32A,2240.0,4.0,1,13022835.200000001,97.37494457014606
Poignée de porte en bois,2205.0,45.0,31,13025040.200000001,97.39143189794216
Ruban de masquage de PEINTURE,2205.0,245.0,58,13027245.200000001,97.40791922573827
Cadenas,2200.0,220.0,21,13029445.200000001,97.42436916730355
Chemin de Cable perforé 3m,2160.0,24.0,2,13031605.200000001,97.4405200190222
Panel LED 30X120 40W 6000K,2125.0,85.0,3,13033730.200000001,97.45640916712503
Bande Led,2108.0,34.0,2,13035838.200000001,97.47217120204304
PARAF.24KV NORMAL 610MM YH10W-24KVE2,2100.0,1.0,1,13037938.200000001,97.48787341899173
Carburant de machine de TRACAGE AU SOL,2100.0,210.0,4,13040038.200000001,97.5035756359404
Siphon de lavabo MEDHUB,2080.0,13.0,9,13042118.200000001,97.51912830796576
Extracteur d'air sanitaire silencieux,2060.0,103.0,3,13044178.200000001,97.53453143506779
Projecteur LED 240W MEDHUB,2060.0,103.0,5,13046238.200000001,97.54993456216984
Douille GU10	,2040.0,24.0,4,13048278.200000001,97.56518814434855
Cheville metallique Ø 10,2038.0,1019.0,17,13050316.200000001,97.58042677203494
Contre bardage lot 120 (similaire à l'existant),2016.0,6.0,1,13052332.200000001,97.59550090030568
Gaz R22 13 KG,2000.0,2.0,2,13054332.200000001,97.61045539263775
Fourniture de déflecteurs a brosses escalator Schindler.,2000.0,1.0,1,13056332.200000001,97.62540988496983
Ballaste électronique 40W,2000.0,100.0,1,13058332.200000001,97.6403643773019
Fourniture de Plaque désignation cabine.,2000.0,1.0,1,13060332.200000001,97.65531886963397
Multiprises rackable,1994.0,8.0,4,13062326.200000001,97.67022849848907
Ressort gauche standard de porte sectionnelle,1993.0,1.0,1,13064319.200000001,97.68513065009797
Détecteurs optique de fumée FDO500 (avec socle),1980.0,6.0,2,13066299.200000001,97.69993559750672
Poignée porte coupe feu,1950.0,195.0,30,13068249.200000001,97.7145162275305
lampe T8 60 cm LED,1944.0,108.0,22,13070193.200000001,97.72905199407728
"Lampe led stick E27  ""NICHES""",1924.0,26.0,2,13072117.200000001,97.74343821570073
Câble cuivre souple U1000  1G25mm2,1920.0,40.0,1,13074037.200000001,97.75779452833953
Fourniture de tuyau PEHD Ø32MM,1920.0,96.0,1,13075957.200000001,97.77215084097833
Barre antipanique Bricard,1900.0,1.0,1,13077857.200000001,97.78635760869379
Vachette CLEDOR de porte rosace INOX CND,1890.0,14.0,12,13079747.200000001,97.80048960394761
Cadenas MEDHUB,1850.0,185.0,13,13081597.200000001,97.81432250935478
Verrou porte manuel MEDHUB,1800.0,4.0,3,13083397.200000001,97.82778155245366
Ruban LED 10W 6500K,1800.0,150.0,3,13085197.200000001,97.84124059555252
Huile moteur 15w40,1794.0,46.0,2,13086991.200000001,97.85465477517438
Detecteur chaleur thermovelocimetrique IQ8QUADTD interactif ESSER NF,1790.0,4.0,4,13088781.200000001,97.8680390458116
Prise de courant 2P+T blanc,1790.0,179.0,21,13090571.200000001,97.8814233164488
Kit de fixation réglable pour lavabo,1785.0,119.0,17,13092356.200000001,97.89477020085519
Thermistance de gaz,1776.0,1.0,1,13094132.200000001,97.90804979004606
Teinte de peinture laque bleu,1752.0,146.0,17,13095884.200000001,97.92114992532896
Armaflex ACE Tapis d'isolation autoadhésif,1740.0,4.0,2,13097624.200000001,97.93416033365787
Robinet équerre chromé 1/2,1716.0,39.0,25,13099340.200000001,97.94699128807879
"Cuivre avec arma Flex 3/4, 3/8  rouleau 20m",1700.0,34.0,2,13101040.200000001,97.95970260656107
Driver LED 18W,1692.0,141.0,3,13102732.200000001,97.972354107074
Panel led 24 W carrée,1680.0,15.0,6,13104412.200000001,97.98491588063294
Culotte  75 PVC HP,1680.0,30.0,6,13106092.200000001,97.99747765419188
Joint d'étanchité bas pour portes sectionnelle épaisseur : 40 mm,1676.0,2.0,1,13107768.200000001,98.01000951876617
hublot ronde étanche,1653.0,57.0,33,13109421.200000001,98.02236940667862
Ciment blanc,1624.0,28.0,7,13111045.200000001,98.03451245445227
Robinet équerre chromé  3/8,1584.0,36.0,16,13112629.200000001,98.04635641237928
Culotte 110 PVC HP,1566.0,18.0,5,13114195.200000001,98.05806577987529
T  75 PVC HP,1560.0,24.0,3,13115755.200000001,98.0697302838943
Paumelle vitre INOX,1540.0,77.0,6,13117295.200000001,98.08124524299001
Robinet équaire 1/2*3/4,1540.0,22.0,10,13118835.200000001,98.0927602020857
"Boite jonction à résine 16,25,35 mm2",1530.0,9.0,7,13120365.200000001,98.10420038871975
Coude 90 40 PEHD HP,1520.0,152.0,5,13121885.200000001,98.11556580289212
Lampe projecteur 70W,1520.0,19.0,1,13123405.200000001,98.12693121706451
Silicone blanc. w,1507.5,67.0,40,13124912.700000001,98.1382031656598
Connecteur,1500.0,6.0,1,13126412.700000001,98.14941903490886
Split 24000 complet,1500.0,3.0,2,13127912.700000001,98.16063490415792
Roulette petite axe de porte sectionnelle ,1495.0,23.0,7,13129407.700000001,98.17181338717614
Module BR100 « AVS électronic »,1482.0,1.0,1,13130889.700000001,98.18289466599421
prise de courant électrique encastré,1476.0,41.0,21,13132365.700000001,98.19393108133528
Manomètre à glycérine 0 - 16 bar Boîtier en acier 1/4,1476.0,12.0,8,13133841.700000001,98.20496749667636
Filtre à gasoil réf FF5485 (Cummins 110KVA).,1450.0,1.0,1,13135291.700000001,98.21580950361711
Détecteur optiques CAP112,1440.0,3.0,1,13136731.700000001,98.2265767380962
Capteur de pression de circuit hydraulique de PAC,1427.0,1.0,1,13138158.700000001,98.23724676837514
disjoncteur magnétothermique 4P+N 16A,1415.0,5.0,2,13139573.700000001,98.24782707170009
Mécanisme chasse d'eau pour WC standard et suspendu	,1400.0,2.0,2,13140973.700000001,98.25829521633254
Huile 5W40,1400.0,200.0,1,13142373.700000001,98.268763360965
Spot &tanche ronde 10W LED IP54,1400.0,28.0,9,13143773.700000001,98.27923150559744
"Fléxible 3/4 ""simple-simple"" 1,5M Ø215 BAR",1400.0,2.0,2,13145173.700000001,98.2896996502299
"Panneau ""Rond point""",1400.0,2.0,2,13146573.700000001,98.30016779486236
Mécanisme de fermeture SEVAX MINOS +,1380.0,69.0,3,13147953.700000001,98.31048639457148
"Robinet équerre ,diamètre de  1/2   pouce en laiton. w",1380.0,48.0,36,13149333.700000001,98.32080499428062
Coude 90 125 PVC HP,1360.0,40.0,3,13150693.700000001,98.33097404906643
Filtre déshydrateur CASTEL DF 308/4,1350.0,1.0,1,13152043.700000001,98.34106833139057
Détecteurs optiques CAP320,1344.0,4.0,1,13153387.700000001,98.35111775023773
Tube 75 PEHDHP,1310.0,131.0,5,13154697.700000001,98.36091294271525
Soupape de sécurité de Circuite hydraulique de PAC,1305.0,5.0,4,13156002.700000001,98.37067074896193
Détecteur de chaleur thermostatique interactif IQ8Quad TM (Marque Esser),1300.0,2.0,2,13157302.700000001,98.38039116897778
Carte électronique universel,1300.0,26.0,2,13158602.700000001,98.39011158899362
Carte électronique universel split system,1300.0,1.0,1,13159902.700000001,98.39983200900949
Prise de courant électrique étanche apparent,1280.0,40.0,30,13161182.700000001,98.40940288410201
Boite étanche 240*180,1275.0,255.0,16,13162457.700000001,98.4189363729637
Robinet OM,1275.0,15.0,13,13163732.700000001,98.4284698618254
Pistolet de lavage a haute pression KPS 65,1250.0,1.0,1,13164982.700000001,98.43781641953295
Disjoncteur magnetothermique 50A,1240.0,2.0,1,13166222.700000001,98.44708820477884
lampe LED E27,1230.0,123.0,37,13167452.700000001,98.45628521756306
Serrure porte coupe feu,1220.0,61.0,4,13168672.700000001,98.46540745788563
Baguette d'argent pure,1215.0,15.0,3,13169887.700000001,98.47449231197737
T 40 PVC HP,1200.0,25.0,4,13171087.700000001,98.48346500737661
Contacteur 24 V,1200.0,1.0,1,13172287.700000001,98.49243770277586
Armature LED 100W MEDHUB,1200.0,60.0,4,13173487.700000001,98.50141039817511
"Cuivre avec arma Flex 3/8, 1/4  rouleau 20m",1200.0,24.0,4,13174687.700000001,98.51038309357435
Hublot extérieur ovale - Verre - E27 -60W - IP44,1200.0,8.0,4,13175887.700000001,98.5193557889736
Humidificateur BLCT2C00W0,1200.0,1.0,1,13177087.700000001,98.52832848437284
Drapeau Maroc	,1200.0,1.0,1,13178287.700000001,98.53730117977209
Ecrou Ø20,1188.0,396.0,3,13179475.700000001,98.54618414821734
Câble en acier galvanisé de porte sectionnelle Ø4mm/ML ,1155.0,165.0,12,13180630.700000001,98.55482036753911
Culotte 45 125 PVC HP,1140.0,19.0,5,13181770.700000001,98.56334442816839
Télécommande universelle MEDHUB,1140.0,19.0,9,13182910.700000001,98.57186848879768
Prise de sol 220V,1140.0,3.0,1,13184050.700000001,98.58039254942696
Coude 90 110 PVC HP,1122.0,33.0,8,13185172.700000001,98.58878201962526
Filtre d'air HF6710,1110.0,3.0,3,13186282.700000001,98.59708176286956
Panel led carré 3 w,1110.0,37.0,18,13187392.700000001,98.60538150611387
Led panel 6 w carrée,1102.0,29.0,14,13188494.700000001,98.61362143138884
Spot encastré carre au plafond 100X100 10W LED IP44,1100.0,11.0,5,13189594.700000001,98.62184640217147
Peinture de traçage vert 25KG,1100.0,1.0,1,13190694.700000001,98.63007137295412
Plâtre en poudre,1096.0,1096.0,58,13191790.700000001,98.6382664347521
Coude 90 75 PVC HP,1088.0,32.0,5,13192878.700000001,98.64640167858076
Spot encastré circulaire au plafond 260 10W LED IP44,1080.0,9.0,3,13193958.700000001,98.65447710444008
Vis auto Perceuse,1080.0,180.0,3,13195038.700000001,98.66255253029938
Panel LED 120 CM 48W,1080.0,3.0,2,13196118.700000001,98.67062795615871
Huile 15W40,1070.0,200.0,1,13197188.700000001,98.67862860955637
Interrupteur sectionneur 63A-4P,1050.0,1.0,1,13198238.700000001,98.68647971803071
Fixation de lavabo,1050.0,30.0,11,13199288.700000001,98.69433082650505
Flexible sanitaire Ø 12mm  Femelle 3/8,1034.0,47.0,26,13200322.700000001,98.70206229904073
Huile hydraulique 68,1020.0,204.0,12,13201342.700000001,98.7096890901301
Paumelle INOX,1020.0,102.0,9,13202362.700000001,98.71731588121946
Driver LED 40W,1020.0,85.0,1,13203382.700000001,98.72494267230881
Tube PVC Ø110,1015.0,35.0,2,13204397.700000001,98.73253207716735
Tige fileté Ø16,1012.0,46.0,7,13205409.700000001,98.74009905028737
Contacteur de démarrage du compresseur de PAC,1010.0,1.0,1,13206419.700000001,98.74765106891506
Scotche noir SPECIAL,1008.0,21.0,3,13207427.700000001,98.75518813305044
Siphon plastique Ø40,1008.0,21.0,17,13208435.700000001,98.7627251971858
Détecteur thermo vélocimétrique adressable TFDA-TR1 (Marque Techno Fire),1000.0,2.0,1,13209435.700000001,98.77020244335183
Chlore 13 PH,1000.0,50.0,2,13210435.700000001,98.77767968951788
Coude 90 110 PEHD HP,1000.0,100.0,2,13211435.700000001,98.78515693568391
Huile hydraulique 46 M,1000.0,200.0,1,13212435.700000001,98.79263418184996
Huile hydraulique 32 M,1000.0,200.0,1,13213435.700000001,98.800111428016
Split 12000 complet MEDHUB,1000.0,2.0,2,13214435.700000001,98.80758867418203
Prise de courant 2P+T blanc MEDHUB,1000.0,100.0,12,13215435.700000001,98.81506592034806
Vachette de porte en aluminium 5 cm,979.0,11.0,10,13216414.700000001,98.82238614434462
Réglette LED 2x18W Etanche MEDHUB,975.0,39.0,12,13217389.700000001,98.8296764593565
Câble nu 25mm² Cuivre,967.5,150.0,1,13218357.200000001,98.83691069502215
Robinet lavabo - MITIGEUR-,966.0,3.0,3,13219323.200000001,98.84413371481854
Anti gel 50%,960.5000000000001,170.0,1,13220283.700000001,98.85131560976103
Coude 45 125 PVC HP,952.0,28.0,3,13221235.700000001,98.85843394811108
Film sablé rouleau 30m,950.0,95.0,8,13222185.700000001,98.86553733196882
Serrure double cylindre,940.0,94.0,42,13223125.700000001,98.8725659433649
Silicone spécial vitre,940.0,47.0,6,13224065.700000001,98.87959455476097
Fiche prise 2P+T 16A industrielle souple femelle marque famatel,924.0,21.0,7,13224989.700000001,98.88650353021839
Compresseur 12000,920.0,46.0,2,13225909.700000001,98.89338259669115
Collier de serrage 7x300mm,900.0,30.0,1,13226809.700000001,98.90011211824059
Ballast 150W,900.0,2.0,2,13227709.700000001,98.90684163979002
Cylindre de serrure spécial 12CM,900.0,75.0,21,13228609.700000001,98.91357116133945
Projecteur LED 240W,900.0,45.0,5,13229509.700000001,98.9203006828889
Verrou porte manuel	TMSA,900.0,2.0,1,13230409.700000001,98.92703020443832
Serrure porte en aluminium TMSA,900.0,2.0,1,13231309.700000001,98.93375972598776
"Drapeau MAROC G,T",891.0,3.0,2,13232200.700000001,98.9404219523217
Raccord union male,870.0,87.0,11,13233070.700000001,98.94692715648615
Flexible  évacuation toilette,864.0,36.0,25,13233934.700000001,98.95338749717361
Vis de cloture,855.0,57.0,2,13234789.700000001,98.95978054264557
Interrupteur simple allumage encastré,840.0,30.0,22,13235629.700000001,98.96606142942504
Raccord retube mal 16*1/2,832.0,16.0,6,13236461.700000001,98.97228249823519
Raccord union femelle,820.0,82.0,12,13237281.700000001,98.97841384009133
Silicone spécial vitre MEDHUB,820.0,41.0,3,13238101.700000001,98.9845451819475
Serrure manuel,816.0,24.0,15,13238917.700000001,98.99064661481898
Serrure d’angle avec barillet SEVAX,800.0,40.0,2,13239717.700000001,98.99662841175181
colle gerflex,800.0,80.0,5,13240517.700000001,99.00261020868464
Tambour standard de la porte sectionnelle côté gauche,800.0,1.0,1,13241317.700000001,99.00859200561747
Projecteur LED 480W MEDHUB,800.0,40.0,3,13242117.700000001,99.0145738025503
ROBINET DE SERVICE MEDHUB,800.0,5.0,4,13242917.700000001,99.02055559948313
Tambour standard de la porte sectionnelle côté droite,800.0,1.0,1,13243717.700000001,99.02653739641596
Interrupteur simple allumage blanc,800.0,80.0,3,13244517.700000001,99.03251919334879
Rouleau filtre G4,800.0,40.0,2,13245317.700000001,99.03850099028162
Armature LED 100W,800.0,40.0,1,13246117.700000001,99.04448278721445
Réglette LED 1x18W Etanche,800.0,32.0,5,13246917.700000001,99.05046458414728
Transformateur 24V 220V 360W,780.0,2.0,2,13247697.700000001,99.05629683615679
Vachette porte verre,770.0,1.0,1,13248467.700000001,99.06205431570464
Barrette de connexion 4mm2,770.0,11.0,4,13249237.700000001,99.0678117952525
Spot LED GU5 7W 6500K,759.0,253.0,5,13249996.700000001,99.0734870250925
Demi cylindre de serrure,754.0,58.0,34,13250750.700000001,99.07912486870171
Lavabo,750.0,25.0,6,13251500.700000001,99.08473280332623
