article,total_qty,total_cost,n_requests,famille,daily_demand,forecast_qty,forecast_cost
Tube gorge Gris D40,2065.0,61950.0,21,ELECTRICITE,2.1555323590814197,193.99791231732777,5819.937369519833
Onduleur 3 KVA,10.0,60950.0,9,ELECTRICITE,0.010438413361169102,0.9394572025052192,5725.991649269311
ABATTANT TOILETTE ANGLAISE MEDHUB,29.0,60900.0,11,PLOMBERIE,0.030271398747390398,2.7244258872651357,5721.294363256785
Robinet de Service,380.0,60800.0,208,PLOMBERIE,0.3966597077244259,35.69937369519833,5711.899791231734
Robinet douche mitigeur avec accessoires,89.0,60520.0,30,PLOMBERIE,0.09290187891440502,8.36116910229645,5685.594989561587
Fourniture de Carte mère.,3.0,60000.0,1,ELECTRICITE,0.003131524008350731,0.2818371607515658,5636.743215031316
Toilette anglaise complète,19.0,57000.0,13,PLOMBERIE,0.019832985386221295,1.7849686847599167,5354.90605427975
Groupe hydraulique de QUAI NIVELEUR RH11,4.0,55200.0,4,HYDRAULIQUE,0.0041753653444676405,0.3757828810020876,5185.8037578288095
Gaz 410A 13 KG,54.0,54000.0,37,CLIMATISATION,0.05636743215031315,5.073068893528184,5073.068893528184
PEINTURE DE BORDURE,1325.0,53000.0,14,PEINTURE,1.383089770354906,124.47807933194154,4979.123173277661
 Boîtier de commande « Inekma » du quai niveleur RH11,8.0,52800.0,8,ELECTROMECANIQUE,0.008350730688935281,0.7515657620041752,4960.334029227557
POIGNÉE PORTE BOIS,112.0,52080.0,59,MENUISERIE,0.11691022964509394,10.521920668058454,4892.693110647181
Batterie D'évacuation ascenseur,7.0,52000.0,4,ELECTRICITE,0.007306889352818371,0.6576200417536534,4885.17745302714
Ruban adhésif noire MEDHUB,77.0,50050.0,25,ELECTRICITE,0.08037578288100208,7.233820459290188,4701.983298538622
Carte électronique optionnel PD-AUX board,2.0,50000.0,2,CLIMATISATION,0.0020876826722338203,0.1878914405010438,4697.286012526095
Réglette LED doubel lampeé (équipée) bipolaier 2x18w 120 cm,250.0,48750.0,1,ELECTRICITE,0.2609603340292276,23.486430062630482,4579.8538622129445
Flexes control - FX18 NF avec face avant et batterie ESSER,1.0,46506.8,1,INCENDIE,0.0010438413361169101,0.0939457202505219,4369.114822546972
Poignée fenêtre aluminium,128.0,46080.0,25,MENUISERIE,0.1336116910229645,12.025052192066804,4329.018789144049
Peinture cloture 5 KG,236.0,46020.0,84,PEINTURE,0.24634655532359082,22.171189979123174,4323.382045929019
Cornière en acier galvanisé de forme L y compris les accessoires de fixation,150.0,45000.0,1,DIVERS,0.15657620041753653,14.091858037578287,4227.557411273487
Galets pour le quai de déchargement RENAULT AU PORT TANGER MED,4.0,45000.0,1,MECANIQUE,0.0041753653444676405,0.3757828810020876,4227.557411273486
Starter S2 PHILPS,596.0,44700.0,70,ELECTRICITE,0.6221294363256785,55.99164926931107,4199.37369519833
Ruban de téflon,130.0,44200.0,115,PLOMBERIE,0.13569937369519833,12.21294363256785,4152.400835073069
Boite bouton palier ascenseur Schindler,4.0,43000.0,4,ELECTRICITE,0.0041753653444676405,0.3757828810020876,4039.665970772442
DISJONCTEUR DIFFERENTIEL-4P-63A-30mA TYPE A,28.0,42630.0,2,ELECTRICITE,0.029227557411273485,2.6304801670146136,4004.9060542797492
Starter S10 PHILPS,562.0,42150.0,25,ELECTRICITE,0.5866388308977035,52.797494780793315,3959.8121085594985
Cylindre de serrure standard MEDHUB,137.0,41100.0,60,MENUISERIE,0.1430062630480167,12.870563674321502,3861.1691022964505
Peinture laque 5 KG noir,230.0,40800.0,23,PEINTURE,0.24008350730688935,21.60751565762004,3832.9853862212944
Pointes lumineuses à LED pour éclairage extérieure,45.0,40500.0,3,ELECTRICITE,0.04697286012526096,4.227557411273486,3804.801670146138
Distributeur savon liquide plastique,66.0,39600.0,31,PLOMBERIE,0.06889352818371608,6.200417536534447,3720.2505219206682
Verrou porte manuel,88.0,39600.0,41,MENUISERIE,0.0918580375782881,8.267223382045929,3720.250521920668
Coffret bypass externe pour 1 onduleurs 40KVA,4.0,39200.0,4,ELECTRICITE,0.0041753653444676405,0.3757828810020876,3682.6722338204586
Panel LED 60/60 apparent,108.0,38772.0,27,ELECTRICITE,0.1127348643006263,10.146137787056368,3642.4634655532363
"Câble capotin 3G1,5",504.0,37800.0,10,ELECTRICITE,0.5260960334029228,47.348643006263046,3551.1482254697285
"Câble capotin 3G1,5 MEDHUB",500.0,37500.0,3,ELECTRICITE,0.5219206680584552,46.972860125260965,3522.9645093945724
Cable cuivre U1000 R2V 5g16mm2,300.0,37500.0,1,ELECTRICITE,0.31315240083507306,28.183716075156575,3522.964509394572
"Batterie plomb-étanche (sans entretien) 12V-7,6Ah/C20 avec leurs connectiques MEDHUB",224.0,36736.0,6,ELECTRICITE,0.23382045929018788,21.04384133611691,3451.189979123173
Boite à bouton Palier d'ascenseur OTIS,27.0,36105.0,5,ELECTRICITE,0.028183716075156576,2.536534446764092,3391.910229645094
Capteur numérique de marque PRECIA CDL de 30 Tonnes,8.0,36000.0,1,ELECTROMECANIQUE,0.008350730688935281,0.7515657620041752,3382.0459290187887
Fourniture de carte de charge batteries ARO.,2.0,36000.0,2,ELECTRICITE,0.0020876826722338203,0.1878914405010438,3382.0459290187887
Thermostat mural de climatiseur PAC AIR/EAU,20.0,35000.0,19,CLIMATISATION,0.020876826722338204,1.8789144050104385,3288.1002087682673
Panneaux en fibre de ciment,82.0,34440.0,1,CLIMATISATION,0.08559498956158663,7.703549060542797,3235.490605427975
Fourniture d'un câble d'alimentation basse tension 5G10mm,200.0,34000.0,1,ELECTRICITE,0.20876826722338204,18.789144050104383,3194.154488517745
Poignée aluminium (Pair) MEDHUB,51.0,33150.0,12,MENUISERIE,0.05323590814196242,4.791231732776618,3114.3006263048014
Groupe hydraulique de QUAI NIVELEUR RH11 ,2.0,33000.0,2,MECANIQUE,0.0020876826722338203,0.1878914405010438,3100.2087682672227
Batterie plomb-étanche (sans entretien) 12V-118Ah/C10 avec leurs connectiques,9.0,32706.0,6,ELECTRICITE,0.009394572025052192,0.8455114822546972,3072.58872651357
Boit a bouton cabinet d'ascenseur OTIS,7.0,31600.0,5,ELECTRICITE,0.007306889352818371,0.6576200417536534,2968.6847599164926
SÈCHE-MAINS AUTOMATIQUE JOFEL FUTURA AA16000,11.0,31449.0,10,PLOMBERIE,0.011482254697286013,1.033402922755741,2954.4989561586635
silicone MEDHUB,104.0,31200.0,18,DIVERS,0.10855949895615867,9.77035490605428,2931.106471816284
Vantail vitre de l'ascenseur OTIS,103.0,31000.0,4,ELECTRICITE,0.10751565762004175,9.676409185803758,2912.3173277661795
Enduit façade,2509.0,30108.0,96,PEINTURE,2.6189979123173277,235.7098121085595,2828.517745302714
capteur météorologique pour la mesure de la direction et de la vitesse du vent ,2.0,30000.0,2,ELECTRONIQUE,0.0020876826722338203,0.1878914405010438,2818.371607515657
Courniére de fixation de clôture ponctuelle,1488.0,29760.0,2,DIVERS,1.5532359081419624,139.79123173277662,2795.8246346555325
Distributeur serviette zigzag INOX,16.0,29600.0,12,PLOMBERIE,0.016701461377870562,1.5031315240083505,2780.7933194154484
Carte électronique N°4 de commande PAC,2.0,29580.0,2,CLIMATISATION,0.0020876826722338203,0.1878914405010438,2778.914405010438
porte papier hygiène 300M en inox JOFEL,36.0,28764.0,24,PLOMBERIE,0.037578288100208766,3.3820459290187888,2702.2546972860123
cable capotain 3G2.5 mm,380.0,28500.0,8,ELECTRICITE,0.3966597077244259,35.69937369519833,2677.453027139875
Détecteur optique de fumée adressable TFDA-S1 (Marque Techno Fire),81.0,28350.0,17,INCENDIE,0.08455114822546973,7.609603340292276,2663.3611691022966
Douille GU10,328.0,27880.0,43,ELECTRICITE,0.34237995824634654,30.81419624217119,2619.206680584551
Horloge astronomique,79.0,27650.0,15,ELECTRICITE,0.0824634655532359,7.421711899791231,2597.599164926931
Peinture trottoir blanc 25KG,27.0,27000.0,11,PEINTURE,0.028183716075156576,2.536534446764092,2536.534446764092
Kit douchette WC avec accessoires,74.0,26640.0,33,PLOMBERIE,0.07724425887265135,6.951983298538622,2502.7139874739037
Détecteur de fumée optique interactif IQ8Quad O (avec socle),43.0,25800.0,12,INCENDIE,0.04488517745302714,4.039665970772443,2423.799582463466
Peinture laque 5 KG rouge,149.0,25330.0,27,PEINTURE,0.15553235908141963,13.997912317327767,2379.6450939457204
Siphon de lavabo,158.0,25280.0,97,PLOMBERIE,0.1649269311064718,14.843423799582462,2374.947807933194
Compresseur DANFOSS SZ120S4VC,1.0,25272.0,1,ELECTRICITE,0.0010438413361169101,0.0939457202505219,2374.1962421711896
"Câble U1000R2V 5G2,5",1258.0,25160.0,8,ELECTRICITE,1.313152400835073,118.18371607515657,2363.6743215031315
Kit de deux butoirs en acier,5.0,25000.0,5,MECANIQUE,0.005219206680584551,0.4697286012526096,2348.643006263048
Carte électronique NRCP2-BASE contrôle board,1.0,25000.0,1,CLIMATISATION,0.0010438413361169101,0.0939457202505219,2348.6430062630475
Fourniture d'opérateur de porte cabine OTIS.,1.0,25000.0,1,ELECTRICITE,0.0010438413361169101,0.0939457202505219,2348.6430062630475
Peinture hempel 20 L,6.0,24426.0,3,PEINTURE,0.006263048016701462,0.5636743215031316,2294.7181628392486
Cheville Embase,400.0,24000.0,12,DIVERS,0.4175365344467641,37.578288100208766,2254.697286012526
pompe de circulation d'eau secondaire,2.0,24000.0,1,CLIMATISATION,0.0020876826722338203,0.1878914405010438,2254.6972860125256
Split systéme mural 12000 BTU/h,6.0,23940.0,4,CLIMATISATION,0.006263048016701462,0.5636743215031316,2249.060542797495
huile hydraulique 32 ,600.0,23700.0,2,HYDRAULIQUE,0.6263048016701461,56.36743215031315,2226.5135699373695
"Boite d alimentation ESSER NETZTEIL MODULE IQ8C IQM 802426 POWER CARD 8000M""",1.0,23500.0,1,INCENDIE,0.0010438413361169101,0.0939457202505219,2207.7244258872647
Panneau sandwich pour porte sectionnelle,8.0,23200.0,4,MECANIQUE,0.008350730688935281,0.7515657620041752,2179.540709812108
Fil barbelé type concertina,100.0,23000.0,1,DIVERS,0.10438413361169102,9.394572025052192,2160.7515657620042
"Fourniture d'un moteur de marque FORCE 70AC3 ""220V-50HZ"" (FRS:MEDINDUSTRY)",3.0,22581.0,3,MECANIQUE,0.003131524008350731,0.2818371607515658,2121.3883089770356
Projecteur CAPLED FL150W,20.0,22000.0,1,ELECTRICITE,0.020876826722338204,1.8789144050104385,2066.8058455114824
Roue de portail - Forte charge 300KG,62.0,21700.0,35,DIVERS,0.06471816283924843,5.824634655532359,2038.6221294363256
Serrure porte en aluminium,48.0,21600.0,16,MENUISERIE,0.05010438413361169,4.509394572025053,2029.2275574112737
Fourniture des étriers de protection pour fontaine,11.0,21560.0,3,DIVERS,0.011482254697286013,1.033402922755741,2025.4697286012524
Paumelle aluminium,168.0,21504.0,47,MENUISERIE,0.17536534446764093,15.782881002087684,2020.2087682672236
Drapeau TMPA,43.0,21500.0,12,DIVERS,0.04488517745302714,4.039665970772443,2019.8329853862215
Tube gorge Gris D20,1074.0,21480.0,17,ELECTRICITE,1.1210855949895615,100.89770354906054,2017.9540709812109
"Câble capotin 5G2,5",427.0,21350.0,11,ELECTRICITE,0.44572025052192066,40.11482254697286,2005.741127348643
CÂBLE D'ALIMENTATION BASSE TENSION 5G6mm2,300.0,21240.0,2,ELECTRICITE,0.31315240083507306,28.183716075156575,1995.4070981210855
câble électrique basse tension type U1000R02V 4G4mm2,841.0,21025.0,2,ELECTRICITE,0.8778705636743215,79.00835073068893,1975.2087682672234
TOILETTE ANGLAISE COMPLÈTE MEDHUB,7.0,21000.0,4,PLOMBERIE,0.007306889352818371,0.6576200417536534,1972.8601252609603
Coffret bypass externe pour 1 onduleurs 60KVA,2.0,21000.0,2,ELECTRICITE,0.0020876826722338203,0.1878914405010438,1972.86012526096
Filtre à sac de CTA,8.0,20880.0,2,CLIMATISATION,0.008350730688935281,0.7515657620041752,1961.5866388308973
réglette LED 120cm étanche,111.0,20535.0,10,ELECTRICITE,0.11586638830897704,10.427974947807934,1929.1753653444678
Huile hydraulique D10,301.0,20500.0,5,ELECTRICITE,0.31419624217118997,28.2776617954071,1925.8872651356996
Déclencheur Manuel Addressable - Marque :ESSER,41.0,20500.0,8,INCENDIE,0.04279749478079332,3.8517745302713986,1925.8872651356994
Gaz frigorifique R22,12.0,19800.0,12,CLIMATISATION,0.012526096033402923,1.1273486430062631,1860.1252609603341
Panel LED encastrable de 60/60CM,84.0,19740.0,16,ELECTRICITE,0.08768267223382047,7.891440501043842,1854.488517745303
Condensateur courant,64.0,19200.0,11,CLIMATISATION,0.06680584551148225,6.012526096033402,1803.7578288100206
Boîtier de commande CASIT « KEQ405/BP » pour moteur portai,4.0,19200.0,4,ELECTROMECANIQUE,0.0041753653444676405,0.3757828810020876,1803.7578288100206
Resistance préchauffage réf : (220VAC/300W 200VAC/700W) thermostat 50c°_45°,2.0,19080.0,2,HYDRAULIQUE,0.0020876826722338203,0.1878914405010438,1792.484342379958
Afficheur palier ascenseur Schindler,8.0,19000.0,5,ELECTRICITE,0.008350730688935281,0.7515657620041752,1784.9686847599162
Mécanisme chasse d'eau pour WC standard et suspendu MEDHUB,27.0,18900.0,21,PLOMBERIE,0.028183716075156576,2.536534446764092,1775.5741127348645
Serrure porte en bois MEDHUB,45.0,18900.0,6,MENUISERIE,0.04697286012526096,4.227557411273486,1775.5741127348642
Panel LED 60/60 encastré,105.0,18795.0,38,ELECTRICITE,0.10960334029227557,9.864300626304802,1765.7098121085596
Panel LED encastrable de 120/30CM,76.0,18620.0,8,ELECTRICITE,0.07933194154488518,7.139874739039667,1749.2693110647183
Gel de silice indicatif de couleur orange Diam 2 à 4 mm/KG,98.0,18620.0,4,ELECTRONIQUE,0.1022964509394572,9.206680584551147,1749.269311064718
Fourniture de ventilateur d'aération Schindler.,3.0,18000.0,2,ELECTRICITE,0.003131524008350731,0.2818371607515658,1691.0229645093948
"Fourniture de boitier rappel Schindler.""",3.0,18000.0,3,ELECTRICITE,0.003131524008350731,0.2818371607515658,1691.0229645093948
Fourniture d'armoire électrique,4.0,18000.0,1,ELECTRICITE,0.0041753653444676405,0.3757828810020876,1691.0229645093943
Climatiseur mobile 12000BTU,2.0,18000.0,2,CLIMATISATION,0.0020876826722338203,0.1878914405010438,1691.0229645093943
Robinet poussoir mural,52.0,17940.0,29,PLOMBERIE,0.054279749478079335,4.88517745302714,1685.3862212943632
Robinet équerre,107.0,17120.0,53,PLOMBERIE,0.11169102296450939,10.052192066805844,1608.350730688935
Fourniture de câbles R2V 5x16mm,100.0,17000.0,1,ELECTRICITE,0.10438413361169102,9.394572025052192,1597.0772442588725
ROBINET LAVABO MITIJEUR MEDHUB,20.0,16400.0,14,PLOMBERIE,0.020876826722338204,1.8789144050104385,1540.7098121085596
Colle PVC,62.0,16120.0,55,PLOMBERIE,0.06471816283924843,5.824634655532359,1514.4050104384132
Vitrage de cabine ascenseur,3.0,16000.0,3,ELECTRICITE,0.003131524008350731,0.2818371607515658,1503.1315240083509
Gaz 410A 13 KG MEDHUB,16.0,16000.0,8,CLIMATISATION,0.016701461377870562,1.5031315240083505,1503.1315240083504
Moteur de porte sectionnelle 220V,2.0,16000.0,2,MECANIQUE,0.0020876826722338203,0.1878914405010438,1503.1315240083504
Carte électronique de moteur porte sectionnelle référence (UST 1KL),4.0,16000.0,4,ELECTROMECANIQUE,0.0041753653444676405,0.3757828810020876,1503.1315240083504
Peinture de traçage jaune 25KG,16.0,16000.0,6,PEINTURE,0.016701461377870562,1.5031315240083505,1503.1315240083504
Peinture trottoir rouge 25KG,16.0,16000.0,8,PEINTURE,0.016701461377870562,1.5031315240083505,1503.1315240083504
Ciment CPJ45 sac de 50KG,201.0,15678.0,74,CONSTRUCTION,0.20981210855949894,18.883089770354903,1472.8810020876824
Distributeur savon liquide plastique MEDHUB,26.0,15600.0,10,PLOMBERIE,0.027139874739039668,2.44258872651357,1465.553235908142
Boîtier de commande « Inekma » du quai niveleur télescopique RH21 ,2.0,15600.0,2,ELECTROMECANIQUE,0.0020876826722338203,0.1878914405010438,1465.5532359081417
Robinet temporisateur Vasque,171.0,15390.0,24,PLOMBERIE,0.17849686847599164,16.06471816283925,1445.8246346555325
Serrure de porte. w,181.0,15385.0,163,MENUISERIE,0.18893528183716074,17.004175365344466,1445.3549060542796
Carte électronique N°2 de commande PAC,1.0,14430.0,1,CLIMATISATION,0.0010438413361169101,0.0939457202505219,1355.6367432150312
Tube LED (T8) 18W 6500K MEDHUB,120.0,14400.0,10,ELECTRICITE,0.12526096033402923,11.273486430062631,1352.8183716075157
Soupape de sécurité,16.0,14400.0,5,CLIMATISATION,0.016701461377870562,1.5031315240083505,1352.8183716075155
Robinet temporisateur Mural,155.0,13950.0,21,PLOMBERIE,0.1617954070981211,14.5615866388309,1310.5427974947809
câble électrique U1000 R2V 5G6mm,200.0,13800.0,1,ELECTRICITE,0.20876826722338204,18.789144050104383,1296.4509394572024
Robinet mitigeur de lavabo,42.0,13650.0,37,PLOMBERIE,0.04384133611691023,3.945720250521921,1282.3590814196243
Ruban de téflon MEDHUB,40.0,13600.0,10,PLOMBERIE,0.04175365344467641,3.757828810020877,1277.6617954070982
Batterie de démarrage 12v-180Ah-1100A avec leur connectiques (sans entretien),8.0,13600.0,4,ELECTRICITE,0.008350730688935281,0.7515657620041752,1277.661795407098
Carte électronique N°1 de commande PAC,1.0,13446.0,1,CLIMATISATION,0.0010438413361169101,0.0939457202505219,1263.1941544885176
mousse polyuréthane,112.0,13440.0,13,DIVERS,0.11691022964509394,10.521920668058454,1262.6304801670146
Peinture métal blanc 20KG,21.0,13419.0,5,PEINTURE,0.021920668058455117,1.9728601252609606,1260.6576200417537
"Câble U1000R2V 3G2,5",700.0,13300.0,4,ELECTRICITE,0.7306889352818372,65.76200417536535,1249.4780793319417
Split systéme mural 9000 BTU/h,4.0,13300.0,4,CLIMATISATION,0.0041753653444676405,0.3757828810020876,1249.4780793319414
Tube gorge Gris D20  MEDHUB,650.0,13000.0,10,ELECTRICITE,0.6784968684759917,61.06471816283925,1221.294363256785
Résistance préchauffage réf : (BWO 155 24V) (24 VDC / 7W),2.0,13000.0,1,HYDRAULIQUE,0.0020876826722338203,0.1878914405010438,1221.2943632567847
Distributeur serviette zigzag INOX MEDHUB,7.0,12950.0,3,PLOMBERIE,0.007306889352818371,0.6576200417536534,1216.5970772442588
Climatiseur split system mural de 12000 BTU ,2.0,12500.0,2,CLIMATISATION,0.0020876826722338203,0.1878914405010438,1174.3215031315237
Spot LED GU10 7W 6500K MEDHUB,64.0,12480.0,22,ELECTRICITE,0.06680584551148225,6.012526096033402,1172.4425887265133
Gaz frigorifique R410 A,11.0,12430.0,10,CLIMATISATION,0.011482254697286013,1.033402922755741,1167.7453027139875
"Câble U1000R2V 3G2,5 MED HUB",645.0,12255.0,9,ELECTRICITE,0.673277661795407,60.59498956158664,1151.3048016701462
Moulure auto-adhesive,138.0,12006.0,10,ELECTRICITE,0.1440501043841336,12.964509394572024,1127.9123173277662
Câble U1000R2V 5G10,600.0,12000.0,2,ELECTRICITE,0.6263048016701461,56.36743215031315,1127.348643006263
Transponder Esserbus 4 entrées/2 sorties ; Module MD4L,1.0,12000.0,1,ELECTRICITE,0.0010438413361169101,0.0939457202505219,1127.3486430062628
Matériel déporté adressable MD4L (Marque Esser),1.0,12000.0,1,INCENDIE,0.0010438413361169101,0.0939457202505219,1127.3486430062628
Flexible hydraulique 1/4 « 400 Bar,29.0,11950.0,23,HYDRAULIQUE,0.030271398747390398,2.7244258872651357,1122.651356993737
AGGLOS,2380.0,11900.0,6,CONSTRUCTION,2.4843423799582465,223.59081419624218,1117.9540709812109
Distributeur papier hygiénique Inox MEDHUB,14.0,11900.0,14,PLOMBERIE,0.014613778705636743,1.3152400835073068,1117.9540709812109
Serrure porte en aluminium MEDHUB,26.0,11700.0,6,MENUISERIE,0.027139874739039668,2.44258872651357,1099.1649269311065
Câble U1000R2V 5G16,612.0,11628.0,3,ELECTRICITE,0.6388308977035491,57.494780793319414,1092.400835073069
HEMPADUR ZINC 17360,64.0,11520.0,2,PEINTURE,0.06680584551148225,6.012526096033402,1082.2546972860123
Split 9000 complet,23.0,11500.0,13,CLIMATISATION,0.024008350730688934,2.1607515657620042,1080.3757828810021
Groupe hydraulique 9T ENIKMA 380V,1.0,11500.0,1,MECANIQUE,0.0010438413361169101,0.0939457202505219,1080.375782881002
Ciment CPJ35 sac de 50KG,221.0,11492.0,63,CONSTRUCTION,0.23068893528183715,20.762004175365345,1079.6242171189979
Pompe de surculation d'eau glacée de Circuite hydraulique de PAC,2.0,11484.0,2,CLIMATISATION,0.0020876826722338203,0.1878914405010438,1078.8726513569936
Cylindre de serrure spécial 8CM,76.0,11400.0,54,MENUISERIE,0.07933194154488518,7.139874739039667,1070.98121085595
Panneau sandwich Stucco,6.0,11400.0,2,MECANIQUE,0.006263048016701462,0.5636743215031316,1070.98121085595
Robinet cuisine mitigeur (Mur),15.0,11250.0,5,PLOMBERIE,0.015657620041753653,1.4091858037578289,1056.8893528183717
cheville plastique D08,140.0,11200.0,3,DIVERS,0.14613778705636743,13.152400835073069,1052.1920668058456
Porte  savon en inox JOFEL,37.0,11063.0,32,PLOMBERIE,0.038622129436325675,3.475991649269311,1039.321503131524
"Réglette Philips 1200mm, Réf: WT120 G2 LED40S/840 PSU L1200 ",22.0,10560.0,3,ELECTRICITE,0.022964509394572025,2.066805845511482,992.0668058455115
